,Product name,Links of products,Reviews
12,"OPPO Reno10 Pro+ 5G (Glossy Purple, 256 GB)",https://www.flipkart.com/oppo-reno10-pro-5g-glossy-purple-256-gb/p/itm0c255bc2351f1?pid=MOBGQP3UTQTRCZ83&lid=LSTMOBGQP3UTQTRCZ83V5WAAT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGQP3UTQTRCZ83.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.5
13,"OPPO Reno10 5G (Ice Blue, 256 GB)",https://www.flipkart.com/oppo-reno10-5g-ice-blue-256-gb/p/itm8f29359478c6e?pid=MOBGQP3UUYGFGYKD&lid=LSTMOBGQP3UUYGFGYKDKTLXX3&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGQP3UUYGFGYKD.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.2
14,"OPPO Reno10 Pro 5G (Silvery Grey, 256 GB)",https://www.flipkart.com/oppo-reno10-pro-5g-silvery-grey-256-gb/p/itm7fc37fb654ef8?pid=MOBGQP3UUZE5CEYZ&lid=LSTMOBGQP3UUZE5CEYZVABO05&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGQP3UUZE5CEYZ.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
15,"OPPO Find N2 Flip (Moonlit Purple, 256 GB)",https://www.flipkart.com/oppo-find-n2-flip-moonlit-purple-256-gb/p/itm8cfed9af48231?pid=MOBGN2NDCSQ3F3JY&lid=LSTMOBGN2NDCSQ3F3JYGI4MIN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGN2NDCSQ3F3JY.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.1
16,"OPPO Find N2 Flip (Astral Black, 256 GB)",https://www.flipkart.com/oppo-find-n2-flip-astral-black-256-gb/p/itm8cfed9af48231?pid=MOBGN2NDWGYJTN8R&lid=LSTMOBGN2NDWGYJTN8RDVIDOY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGN2NDWGYJTN8R.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.1
17,"OPPO A17k (Blue, 64 GB)",https://www.flipkart.com/oppo-a17k-blue-64-gb/p/itm3821c4535ee09?pid=MOBGMPHKV3T6YGMR&lid=LSTMOBGMPHKV3T6YGMRFOV2FW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_42&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGMPHKV3T6YGMR.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.5
18,"OPPO A17 (Lake Blue, 64 GB)",https://www.flipkart.com/oppo-a17-lake-blue-64-gb/p/itm4aae9f8df9008?pid=MOBGMPHKWBPVCDW6&lid=LSTMOBGMPHKWBPVCDW6J9LMDX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_43&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGMPHKWBPVCDW6.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
19,"OPPO Reno8T 5G (Sunrise Gold, 128 GB)",https://www.flipkart.com/oppo-reno8t-5g-sunrise-gold-128-gb/p/itm9ec7deac6401c?pid=MOBGHZ9HZ4AEQGFH&lid=LSTMOBGHZ9HZ4AEQGFHFO5FMR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGHZ9HZ4AEQGFH.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
20,"OPPO Reno8T 5G (Midnight Black, 128 GB)",https://www.flipkart.com/oppo-reno8t-5g-midnight-black-128-gb/p/itm9ec7deac6401c?pid=MOBGHZ9HN27URAZH&lid=LSTMOBGHZ9HN27URAZHSHPISS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGHZ9HN27URAZH.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
21,"OPPO A17K (Gold, 64 GB)",https://www.flipkart.com/oppo-a17k-gold-64-gb/p/itmab7beae586ed1?pid=MOBGJAEG2TVFTH2U&lid=LSTMOBGJAEG2TVFTH2UEQJJ9L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_46&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGJAEG2TVFTH2U.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.5
22,"OPPO A57 (Glowing Gold, 64 GB)",https://www.flipkart.com/oppo-a57-glowing-gold-64-gb/p/itma242c097cc9a1?pid=MOBGGZD3WHX3NZRR&lid=LSTMOBGGZD3WHX3NZRRTBCZZZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_47&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGGZD3WHX3NZRR.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.4
